Unnamed: 0.1,Unnamed: 0,REF_DATE,GEO,DGUID,Gender,Type of corporation,Country,Industry,Size of enterprise,Executive,UNIT,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
15080,122600,2016,Nova Scotia,2021A000212,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603509,4.2.1.2.10.1.2.1,8.0,,,,0
16802,139622,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695324,5.1.1.2.1.1.2.1,26.0,,,,0
16844,139664,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693749,5.1.1.2.2.1.2.1,2.0,,,,0
16886,139706,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695099,5.1.1.2.3.1.2.1,0.0,,,,0
16928,139748,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693299,5.1.1.2.4.1.2.1,2.0,,,,0
16970,139790,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694424,5.1.1.2.5.1.2.1,0.0,,,,0
17012,139832,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694649,5.1.1.2.6.1.2.1,0.0,,,,0
17054,139874,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694199,5.1.1.2.7.1.2.1,7.0,,,,0
17096,139916,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694874,5.1.1.2.8.1.2.1,5.0,,,,0
17138,139958,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693974,5.1.1.2.9.1.2.1,10.0,,,,0
17180,140000,2016,New Brunswick,2021A000213,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693524,5.1.1.2.10.1.2.1,0.0,,,,0
18902,157022,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605324,5.2.1.2.1.1.2.1,149.0,,,,0
18944,157064,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603749,5.2.1.2.2.1.2.1,2.0,,,,0
18986,157106,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605099,5.2.1.2.3.1.2.1,0.0,,,,0
19028,157148,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603299,5.2.1.2.4.1.2.1,30.0,,,,0
19070,157190,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604424,5.2.1.2.5.1.2.1,9.0,,,,0
19112,157232,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604649,5.2.1.2.6.1.2.1,0.0,,,,0
19154,157274,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604199,5.2.1.2.7.1.2.1,30.0,,,,0
19196,157316,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604874,5.2.1.2.8.1.2.1,11.0,,,,0
19238,157358,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603974,5.2.1.2.9.1.2.1,53.0,,,,0
19280,157400,2016,New Brunswick,2021A000213,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603524,5.2.1.2.10.1.2.1,14.0,,,,0
21002,174422,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695315,6.1.1.2.1.1.2.1,964.0,,,,0
21044,174464,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693740,6.1.1.2.2.1.2.1,299.0,,,,0
21086,174506,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695090,6.1.1.2.3.1.2.1,12.0,,,,0
21128,174548,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693290,6.1.1.2.4.1.2.1,166.0,,,,0
21170,174590,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694415,6.1.1.2.5.1.2.1,34.0,,,,0
21212,174632,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694640,6.1.1.2.6.1.2.1,17.0,,,,0
21254,174674,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694190,6.1.1.2.7.1.2.1,50.0,,,,0
21296,174716,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694865,6.1.1.2.8.1.2.1,2.0,,,,0
21338,174758,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693965,6.1.1.2.9.1.2.1,348.0,,,,0
21380,174800,2016,Quebec,2021A000224,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693515,6.1.1.2.10.1.2.1,36.0,,,,0
23102,191822,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605315,6.2.1.2.1.1.2.1,1774.0,,,,0
23144,191864,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603740,6.2.1.2.2.1.2.1,571.0,,,,0
23186,191906,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605090,6.2.1.2.3.1.2.1,31.0,,,,0
23228,191948,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603290,6.2.1.2.4.1.2.1,294.0,,,,0
23270,191990,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604415,6.2.1.2.5.1.2.1,105.0,,,,0
23312,192032,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604640,6.2.1.2.6.1.2.1,36.0,,,,0
23354,192074,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604190,6.2.1.2.7.1.2.1,175.0,,,,0
23396,192116,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428604865,6.2.1.2.8.1.2.1,13.0,,,,0
23438,192158,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603965,6.2.1.2.9.1.2.1,517.0,,,,0
23480,192200,2016,Quebec,2021A000224,Men,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428603515,6.2.1.2.10.1.2.1,32.0,,,,0
25202,209222,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428695312,7.1.1.2.1.1.2.1,2021.0,,,,0
25244,209264,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428693737,7.1.1.2.2.1.2.1,1015.0,,,,0
25286,209306,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428695087,7.1.1.2.3.1.2.1,19.0,,,,0
25328,209348,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428693287,7.1.1.2.4.1.2.1,271.0,,,,0
25370,209390,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428694412,7.1.1.2.5.1.2.1,71.0,,,,0
25412,209432,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428694637,7.1.1.2.6.1.2.1,19.0,,,,0
25454,209474,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428694187,7.1.1.2.7.1.2.1,50.0,,,,0
25496,209516,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Construction,Total all sizes,All officers ,Number,Number,223,units,0,v1428694862,7.1.1.2.8.1.2.1,80.0,,,,0
25538,209558,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Other industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693962,7.1.1.2.9.1.2.1,363.0,,,,0
25580,209600,2016,Ontario,2021A000235,Women,Total all corporations,Canada,Unclassified industry,Total all sizes,All officers ,Number,Number,223,units,0,v1428693512,7.1.1.2.10.1.2.1,133.0,,,,0
27302,226622,2016,Ontario,2021A000235,Men,Total all corporations,Canada,Total all industries,Total all sizes,All officers ,Number,Number,223,units,0,v1428605312,7.2.1.2.1.1.2.1,4767.0,,,,0
27344,226664,2016,Ontario,2021A000235,Men,Total all corporations,Canada,Finance,Total all sizes,All officers ,Number,Number,223,units,0,v1428603737,7.2.1.2.2.1.2.1,1914.0,,,,0
27386,226706,2016,Ontario,2021A000235,Men,Total all corporations,Canada,Utilities,Total all sizes,All officers ,Number,Number,223,units,0,v1428605087,7.2.1.2.3.1.2.1,76.0,,,,0
27428,226748,2016,Ontario,2021A000235,Men,Total all corporations,Canada,Management of companies and enterprises,Total all sizes,All officers ,Number,Number,223,units,0,v1428603287,7.2.1.2.4.1.2.1,598.0,,,,0
27470,226790,2016,Ontario,2021A000235,Men,Total all corporations,Canada,Distributive trade,Total all sizes,All officers ,Number,Number,223,units,0,v1428604412,7.2.1.2.5.1.2.1,164.0,,,,0
27512,226832,2016,Ontario,2021A000235,Men,Total all corporations,Canada,Energy,Total all sizes,All officers ,Number,Number,223,units,0,v1428604637,7.2.1.2.6.1.2.1,83.0,,,,0
27554,226874,2016,Ontario,2021A000235,Men,Total all corporations,Canada,Manufacturing,Total all sizes,All officers ,Number,Number,223,units,0,v1428604187,7.2.1.2.7.1.2.1,219.0,,,,0
